date_time,buoy_id,lat,lon,lon_29n,lat_29n
2016-09-30 23:59:31,29243,58.5207294536,-6.27628363826,658625.662073,6489903.37438
2016-10-01 00:01:31,29243,58.5207294536,-6.27628363826,658625.662073,6489903.37438
2016-10-01 00:09:31,29243,58.5207187248,-6.27617634989,658631.956709,6489902.43385
2016-10-01 00:11:32,29243,58.5206972671,-6.27617634989,658632.053596,6489900.04593
2016-10-01 00:11:32,29243,58.5206972671,-6.27617634989,658632.053596,6489900.04593
2016-10-01 00:19:31,29243,58.5207187248,-6.2760046885,658641.95062,6489902.83935
2016-10-01 00:21:31,29243,58.5207187248,-6.27596177315,658644.449097,6489902.94073
2016-10-01 00:21:31,29243,58.5207187248,-6.27596177315,658644.449097,6489902.94073
2016-10-01 00:29:31,29243,58.5206972671,-6.27594031548,658645.795231,6489900.6035
2016-10-01 00:31:32,29243,58.5207294536,-6.27596177315,658644.40065,6489904.13469
2016-10-01 00:39:31,29243,58.5207294536,-6.27594031548,658645.649888,6489904.18538
2016-10-01 00:41:31,29243,58.5207294536,-6.27604760385,658639.403696,6489903.93193
2016-10-01 00:41:31,29243,58.5207294536,-6.27604760385,658639.403696,6489903.93193
2016-10-01 00:49:31,29243,58.5207509113,-6.27654113034,658610.574335,6489905.15411
2016-10-01 00:51:32,29243,58.5207509113,-6.27654113034,658610.574335,6489905.15411
2016-10-01 00:51:32,29243,58.5207509113,-6.27654113034,658610.574335,6489905.15411
2016-10-01 00:59:32,29243,58.5207616401,-6.27636946895,658620.519798,6489906.75352
2016-10-01 01:01:31,29243,58.5207616401,-6.2763265536,658623.018273,6489906.85489
2016-10-01 01:09:31,29243,58.5207830978,-6.2760905192,658636.662994,6489909.80035
2016-10-01 01:11:32,29243,58.5207294536,-6.27585448479,658650.646842,6489904.38815
2016-10-01 01:11:32,29243,58.5207294536,-6.27585448479,658650.646842,6489904.38815
2016-10-01 01:19:31,29243,58.5205148769,-6.27538241597,658679.099235,6489881.62431
2016-10-01 01:21:32,29243,58.520504148,-6.27533950063,658681.646185,6489880.53175
2016-10-01 01:21:32,29243,58.520504148,-6.27533950063,658681.646185,6489880.53175
2016-10-01 01:29:31,29243,58.5205363345,-6.27533950063,658681.50081,6489884.11363
2016-10-01 01:31:32,29243,58.5205685211,-6.27538241597,658678.856947,6489887.5941
2016-10-01 01:39:31,29243,58.5206007076,-6.27540387365,658677.462332,6489891.12527
2016-10-01 01:41:31,29243,58.5206007076,-6.27542533132,658676.213089,6489891.07457
2016-10-01 01:41:31,29243,58.5206007076,-6.27542533132,658676.213089,6489891.07457
2016-10-01 01:49:31,29243,58.5206007076,-6.27533950063,658681.21006,6489891.27738
2016-10-01 01:51:32,29243,58.5206007076,-6.27533950063,658681.21006,6489891.27738
2016-10-01 01:51:32,29243,58.5206007076,-6.27533950063,658681.21006,6489891.27738
2016-10-01 01:59:31,29243,58.5206650806,-6.27540387365,658677.171589,6489898.28902
2016-10-01 02:01:31,29243,58.5206865383,-6.27538241597,658678.323914,6489900.72764
2016-10-01 02:09:32,29243,58.5206972671,-6.27538241597,658678.275456,6489901.9216
2016-10-01 02:11:31,29243,58.5206972671,-6.2753609583,658679.524695,6489901.9723
2016-10-01 02:11:31,29243,58.5206972671,-6.2753609583,658679.524695,6489901.9723
2016-10-01 02:19:32,29243,58.5207187248,-6.27527512761,658684.424733,6489904.56303
2016-10-01 02:21:31,29243,58.5207187248,-6.27525366993,658685.673972,6489904.61373
2016-10-01 02:21:31,29243,58.5207187248,-6.27525366993,658685.673972,6489904.61373
2016-10-01 02:29:31,29243,58.5206972671,-6.27518929691,658689.518609,6489902.37793
2016-10-01 02:31:31,29243,58.5206972671,-6.27518929691,658689.518609,6489902.37793
2016-10-01 02:39:32,29243,58.5206650806,-6.27514638157,658692.162473,6489898.89746
2016-10-01 02:41:31,29243,58.5206650806,-6.27512492389,658693.411713,6489898.94817
2016-10-01 02:41:31,29243,58.5206650806,-6.27512492389,658693.411713,6489898.94817
2016-10-01 02:49:31,29243,58.5206650806,-6.27497472018,658702.156395,6489899.30312
2016-10-01 02:51:31,29243,58.5206650806,-6.27499617785,658700.907155,6489899.25241
2016-10-01 02:51:31,29243,58.5206650806,-6.27499617785,658700.907155,6489899.25241
2016-10-01 02:59:32,29243,58.5206650806,-6.27497472018,658702.156395,6489899.30312
2016-10-01 03:01:32,29243,58.5206543518,-6.27497472018,658702.20486,6489898.10916
2016-10-01 03:09:31,29243,58.5206543518,-6.27491034716,658705.952582,6489898.26129
2016-10-01 03:11:32,29243,58.5206543518,-6.27491034716,658705.952582,6489898.26129
2016-10-01 03:11:32,29243,58.5206543518,-6.27491034716,658705.952582,6489898.26129
2016-10-01 03:19:31,29243,58.5206543518,-6.27486743181,658708.451063,6489898.36271
2016-10-01 03:21:32,29243,58.5206543518,-6.27484597414,658709.700304,6489898.41342
2016-10-01 03:21:32,29243,58.5206543518,-6.27484597414,658709.700304,6489898.41342
